play,act,scene,location,entity_text,label,label_description
MACBETH,1,1,An open Place.,THREE,CARDINAL,Numerals that do not fall under another type
MACBETH,1,1,An open Place.,FIRST,ORDINAL,"""first"", ""second"", etc."
MACBETH,1,1,An open Place.,SECOND,ORDINAL,"""first"", ""second"", etc."
MACBETH,1,1,An open Place.,THIRD,ORDINAL,"""first"", ""second"", etc."
MACBETH,1,1,An open Place.,SECOND,DATE,Absolute or relative dates or periods
MACBETH,1,2,A Camp near Forres.,TWO,CARDINAL,Numerals that do not fall under another type
MACBETH,1,2,A Camp near Forres.,THE WESTERN ISLES,LOC,"Non-GPE locations, mountain ranges, bodies of water"
MACBETH,1,2,A Camp near Forres.,NORWEYAN,NORP,Nationalities or religious or political groups
MACBETH,1,2,A Camp near Forres.,FIFE,GPE,"Countries, cities, states"
MACBETH,1,2,A Camp near Forres.,NORWEGIAN,NORP,NORP
MACBETH,1,2,A Camp near Forres.,TEN THOUSAND DOLLARS,MONEY,"Monetary values, including unit"
MACBETH,1,3,A heath.,ALEPPO,GPE,"Countries, cities, states"
MACBETH,1,3,A heath.,NINE,CARDINAL,Numerals that do not fall under another type
MACBETH,1,3,A heath.,BANQUO,PERSON,PERSON
MACBETH,1,3,A heath.,GLAMIS,TITLE,TITLE
MACBETH,1,5,Inverness. A Room in Macbeth's Castle.,TONIGHT,TIME,Times smaller than a day
MACBETH,1,5,Inverness. A Room in Macbeth's Castle.,ONE,CARDINAL,Numerals that do not fall under another type
MACBETH,1,5,Inverness. A Room in Macbeth's Castle.,TOMORROW,DATE,Absolute or relative dates or periods
MACBETH,1,5,Inverness. A Room in Macbeth's Castle.,MORROW,DATE,Absolute or relative dates or periods
MACBETH,1,6,The same. Before the Castle.,SUMMER,DATE,Absolute or relative dates or periods
MACBETH,2,1,Inverness. Court within the Castle.,TWELVE,CARDINAL,Numerals that do not fall under another type
MACBETH,2,2,The same.,LADY MACBETH,PERSON,"People, including fictional"
MACBETH,2,3,The same.,FRENCH,NORP,Nationalities or religious or political groups
MACBETH,2,3,The same.,MACDUFF,PERSON,"People, including fictional"
MACBETH,2,3,The same.,ENGLAND,GPE,"Countries, cities, states"
MACBETH,2,3,The same.,DONALBAIN,PERSON,"People, including fictional"
MACBETH,2,3,The same.,IRELAND,GPE,"Countries, cities, states"
MACBETH,2,4,The same. Without the Castle.,HOURS,TIME,Times smaller than a day
MACBETH,2,4,The same. Without the Castle.,THE DAY,DATE,Absolute or relative dates or periods
MACBETH,2,4,The same. Without the Castle.,SCONE,GPE,GPE
MACBETH,3,1,Forres. A Room in the Palace.,THIS DAY,DATE,Absolute or relative dates or periods
MACBETH,3,1,Forres. A Room in the Palace.,THE PALACE GATE,LOCATION,LOCATION
MACBETH,3,1,Forres. A Room in the Palace.,SON,REL,REL
MACBETH,3,1,Forres. A Room in the Palace.,THIS HOUR,TIME,Times smaller than a day
MACBETH,3,2,The same. Another Room in the Palace.,SERVANT,TITLE,TITLE
MACBETH,3,2,The same. Another Room in the Palace.,A FEW,DATE,Absolute or relative dates or periods
MACBETH,3,3,"The same. A Park or Lawn, with a gate leading to the Palace.",THIRD,DATE,Absolute or relative dates or periods
MACBETH,3,3,"The same. A Park or Lawn, with a gate leading to the Palace.",ALMOST A MILE,QUANTITY,"Measurements, as of weight or distance"
MACBETH,3,3,"The same. A Park or Lawn, with a gate leading to the Palace.",HALF,CARDINAL,Numerals that do not fall under another type
MACBETH,3,4,The same. A Room of state in the Palace.,TWENTY,CARDINAL,Numerals that do not fall under another type
MACBETH,3,4,The same. A Room of state in the Palace.,NIGHT,TIME,Times smaller than a day
MACBETH,3,5,The heath.,ACHERON,LOC,LOC
MACBETH,3,5,The heath.,THIS NIGHT,TIME,Times smaller than a day
MACBETH,3,6,Forres. A Room in the Palace.,NORTHUMBERLAND,GPE,"Countries, cities, states"
MACBETH,4,1,"A dark Cave. In the middle, a Cauldron Boiling.",DAYS,DATE,Absolute or relative dates or periods
MACBETH,4,1,"A dark Cave. In the middle, a Cauldron Boiling.",MIDNIGHT,TIME,Times smaller than a day
MACBETH,4,1,"A dark Cave. In the middle, a Cauldron Boiling.",BIRNAM,GPE,"Countries, cities, states"
MACBETH,4,1,"A dark Cave. In the middle, a Cauldron Boiling.",DUNSINANE,GPE,"Countries, cities, states"
