play,act,scene,location,entity_text,spacy_label,label_description,start_char,end_char
MACBETH,1,1,An open Place.,three,CARDINAL,Numerals that do not fall under another type,29,34
MACBETH,1,1,An open Place.,FIRST,ORDINAL,"""first"", ""second"", etc.",44,49
MACBETH,1,1,An open Place.,three,CARDINAL,Numerals that do not fall under another type,71,76
MACBETH,1,1,An open Place.,FIRST,ORDINAL,"""first"", ""second"", etc.",244,249
MACBETH,1,1,An open Place.,FIRST,ORDINAL,"""first"", ""second"", etc.",345,350
MACBETH,1,1,An open Place.,Graymalkin,PERSON,"People, including fictional",366,376
MACBETH,1,2,A Camp near Forres.,Alarum,PERSON,"People, including fictional",0,6
MACBETH,1,2,A Camp near Forres.,Duncan,PERSON,"People, including fictional",26,32
MACBETH,1,2,A Camp near Forres.,Malcolm,PERSON,"People, including fictional",34,41
MACBETH,1,2,A Camp near Forres.,Donalbain,PERSON,"People, including fictional",43,52
MACBETH,1,2,A Camp near Forres.,Lennox,PERSON,"People, including fictional",54,60
MACBETH,1,2,A Camp near Forres.,Attendants,PERSON,"People, including fictional",67,77
MACBETH,1,2,A Camp near Forres.,DUNCAN,PERSON,"People, including fictional",107,113
MACBETH,1,2,A Camp near Forres.,MALCOLM,PERSON,"People, including fictional",213,220
MACBETH,1,2,A Camp near Forres.,captivity.—Hail,GPE,"Countries, cities, states",297,312
MACBETH,1,2,A Camp near Forres.,two,CARDINAL,Numerals that do not fall under another type,426,429
MACBETH,1,2,A Camp near Forres.,the Western Isles,LOC,"Non-GPE locations, mountain ranges, bodies of water",610,627
MACBETH,1,2,A Camp near Forres.,kerns,GPE,"Countries, cities, states",631,636
MACBETH,1,2,A Camp near Forres.,Fortune,WORK_OF_ART,"Titles of books, songs, etc.",672,679
MACBETH,1,2,A Camp near Forres.,Disdaining Fortune,PERSON,"People, including fictional",809,827
MACBETH,1,2,A Camp near Forres.,Valour,ORG,"Companies, agencies, institutions, etc.",897,903
MACBETH,1,2,A Camp near Forres.,carv'd,PRODUCT,"Objects, vehicles, foods, etc. (not services)",914,920
MACBETH,1,2,A Camp near Forres.,DUNCAN,PERSON,"People, including fictional",1104,1110
MACBETH,1,2,A Camp near Forres.,that spring,DATE,Absolute or relative dates or periods,1252,1263
MACBETH,1,2,A Camp near Forres.,Mark,PERSON,"People, including fictional",1314,1318
MACBETH,1,2,A Camp near Forres.,Scotland,GPE,"Countries, cities, states",1328,1336
MACBETH,1,2,A Camp near Forres.,kerns,ORG,"Companies, agencies, institutions, etc.",1411,1416
MACBETH,1,2,A Camp near Forres.,Norweyan,NORP,Nationalities or religious or political groups,1447,1455
MACBETH,1,2,A Camp near Forres.,DUNCAN,PERSON,"People, including fictional",1549,1555
