play,from_node,from_label,rel_type,to_node,to_label,extraction_source
THE TRAGEDY OF ROMEO AND JULIET,ESCALUS,PERSON,PRINCE_OF,Verona,GPE,cast_list
THE TRAGEDY OF ROMEO AND JULIET,MERCUTIO,PERSON,KINSMAN_TO,the Prince,GPE,cast_list
THE TRAGEDY OF ROMEO AND JULIET,PARIS,PERSON,"A_YOUNG_NOBLEMAN,_KINSMAN_TO",the Prince,GPE,cast_list
THE TRAGEDY OF ROMEO AND JULIET,MONTAGUE,PERSON,HEAD_OF,a Veronese family at feud with the Capulets,GPE,cast_list
THE TRAGEDY OF ROMEO AND JULIET,LADY MONTAGUE,PERSON,WIFE_TO,Montague,PERSON,cast_list
THE TRAGEDY OF ROMEO AND JULIET,ROMEO,PERSON,SON_TO,Montague,PERSON,cast_list
THE TRAGEDY OF ROMEO AND JULIET,BENVOLIO,PERSON,NEPHEW_TO,Montague,PERSON,cast_list
THE TRAGEDY OF ROMEO AND JULIET,ABRAM,PERSON,SERVANT_TO,Montague,PERSON,cast_list
THE TRAGEDY OF ROMEO AND JULIET,BALTHASAR,PERSON,SERVANT_TO,Romeo,PERSON,cast_list
THE TRAGEDY OF ROMEO AND JULIET,CAPULET,PERSON,HEAD_OF,a Veronese family at feud with the Montagues,GPE,cast_list
THE TRAGEDY OF ROMEO AND JULIET,LADY CAPULET,PERSON,WIFE_TO,Capulet,PERSON,cast_list
THE TRAGEDY OF ROMEO AND JULIET,JULIET,PERSON,DAUGHTER_TO,Capulet,PERSON,cast_list
THE TRAGEDY OF ROMEO AND JULIET,TYBALT,PERSON,NEPHEW_TO,Lady Capulet,PERSON,cast_list
THE TRAGEDY OF ROMEO AND JULIET,SAMPSON,PERSON,SERVANT_TO,Capulet,PERSON,cast_list
THE TRAGEDY OF ROMEO AND JULIET,GREGORY,PERSON,SERVANT_TO,Capulet,PERSON,cast_list
THE TRAGEDY OF ROMEO AND JULIET,ROMEO,PERSON,MARRIED_TO,JULIET,PERSON,play_configs
THE TRAGEDY OF ROMEO AND JULIET,ROMEO,PERSON,SON_OF,MONTAGUE,PERSON,play_configs
THE TRAGEDY OF ROMEO AND JULIET,JULIET,PERSON,DAUGHTER_OF,CAPULET,PERSON,play_configs
THE TRAGEDY OF ROMEO AND JULIET,BENVOLIO,PERSON,NEPHEW_OF,MONTAGUE,PERSON,play_configs
THE TRAGEDY OF ROMEO AND JULIET,TYBALT,PERSON,NEPHEW_OF,LADY CAPULET,PERSON,play_configs
THE TRAGEDY OF ROMEO AND JULIET,ROMEO,PERSON,KILLS,TYBALT,PERSON,play_configs
THE TRAGEDY OF ROMEO AND JULIET,ROMEO,PERSON,KILLS,PARIS,PERSON,play_configs
THE TRAGEDY OF ROMEO AND JULIET,TYBALT,PERSON,KILLS,MERCUTIO,PERSON,play_configs
THE TRAGEDY OF ROMEO AND JULIET,ROMEO,PERSON,LOVES,JULIET,PERSON,play_configs
THE TRAGEDY OF ROMEO AND JULIET,JULIET,PERSON,LOVES,ROMEO,PERSON,play_configs
THE TRAGEDY OF ROMEO AND JULIET,PARIS,PERSON,LOVES,JULIET,PERSON,play_configs
THE TRAGEDY OF ROMEO AND JULIET,MONTAGUE,PERSON,FEUD_WITH,CAPULET,PERSON,play_configs
THE TRAGEDY OF ROMEO AND JULIET,CAPULET,PERSON,FEUD_WITH,MONTAGUE,PERSON,play_configs
THE TRAGEDY OF ROMEO AND JULIET,FRIAR LAWRENCE,PERSON,ALLIES_WITH,ROMEO,PERSON,play_configs
THE TRAGEDY OF ROMEO AND JULIET,ESCALUS,PERSON,RULES,Verona,GPE,play_configs
THE TRAGEDY OF ROMEO AND JULIET,MONTAGUE,PERSON,BASED_IN,Verona,GPE,play_configs
THE TRAGEDY OF ROMEO AND JULIET,CAPULET,PERSON,BASED_IN,Verona,GPE,play_configs
THE TRAGEDY OF ROMEO AND JULIET,ROMEO,PERSON,HOLDS_TITLE,Prince of Verona,TITLE,play_configs
THE TRAGEDY OF ROMEO AND JULIET,ESCALUS,PERSON,HOLDS_TITLE,Prince of Verona,TITLE,play_configs
THE TRAGEDY OF ROMEO AND JULIET,Mantua,GPE,LOCATED_IN,Italy,GPE,play_configs
THE TRAGEDY OF ROMEO AND JULIET,Verona,GPE,LOCATED_IN,Italy,GPE,play_configs
THE TRAGEDY OF ROMEO AND JULIET,PARIS,PERSON,SERVANT_OF,MERCUTIO,PERSON,auto_extracted
