play,act,scene,location,entity_text,label,label_description
MUCH ADO ABOUT NOTHING,1,1,Before Leonato's House.,LEONATO,PERSON,"People, including fictional"
MUCH ADO ABOUT NOTHING,1,1,Before Leonato's House.,HERO,PERSON,"People, including fictional"
MUCH ADO ABOUT NOTHING,1,1,Before Leonato's House.,BEATRICE,PERSON,"People, including fictional"
MUCH ADO ABOUT NOTHING,1,1,Before Leonato's House.,DON PEDRO,PERSON,"People, including fictional"
MUCH ADO ABOUT NOTHING,1,1,Before Leonato's House.,ARRAGON,GPE,"Countries, cities, states"
MUCH ADO ABOUT NOTHING,1,1,Before Leonato's House.,MESSINA,GPE,"Countries, cities, states"
MUCH ADO ABOUT NOTHING,1,1,Before Leonato's House.,CLAUDIO,PERSON,"People, including fictional"
MUCH ADO ABOUT NOTHING,1,1,Before Leonato's House.,BENEDICK,PERSON,"People, including fictional"
MUCH ADO ABOUT NOTHING,1,1,Before Leonato's House.,PADUA,GPE,"Countries, cities, states"
MUCH ADO ABOUT NOTHING,1,1,Before Leonato's House.,DON JOHN,PERSON,"People, including fictional"
MUCH ADO ABOUT NOTHING,1,1,Before Leonato's House.,BALTHASAR,PERSON,"People, including fictional"
MUCH ADO ABOUT NOTHING,1,1,Before Leonato's House.,DON,GPE,"Countries, cities, states"
MUCH ADO ABOUT NOTHING,1,1,Before Leonato's House.,VENICE,GPE,"Countries, cities, states"
MUCH ADO ABOUT NOTHING,1,2,A room in Leonato's house.,ANTONIO,PERSON,"People, including fictional"
MUCH ADO ABOUT NOTHING,1,3,Another room in Leonato's house.,CONRADE,PERSON,"People, including fictional"
MUCH ADO ABOUT NOTHING,1,3,Another room in Leonato's house.,BORACHIO,PERSON,"People, including fictional"
MUCH ADO ABOUT NOTHING,1,3,Another room in Leonato's house.,HEIR,REL,REL
MUCH ADO ABOUT NOTHING,2,1,A hall in Leonato's house.,THE GATE,LOCATION,LOCATION
MUCH ADO ABOUT NOTHING,2,1,A hall in Leonato's house.,THE CINQUEPACE,LOCATION,LOCATION
MUCH ADO ABOUT NOTHING,2,1,A hall in Leonato's house.,MARGARET,PERSON,"People, including fictional"
MUCH ADO ABOUT NOTHING,2,1,A hall in Leonato's house.,URSULA,PERSON,"People, including fictional"
MUCH ADO ABOUT NOTHING,2,1,A hall in Leonato's house.,JOVE,PERSON,PERSON
MUCH ADO ABOUT NOTHING,2,1,A hall in Leonato's house.,PRINCE,TITLE,TITLE
MUCH ADO ABOUT NOTHING,2,1,A hall in Leonato's house.,WHITHER,REL,REL
MUCH ADO ABOUT NOTHING,2,1,A hall in Leonato's house.,ASIA,GPE,"Countries, cities, states"
MUCH ADO ABOUT NOTHING,2,3,Leonato's Garden.,THE ORCHARD,LOCATION,LOCATION
MUCH ADO ABOUT NOTHING,3,1,Leonato's Garden.,URSALA,GPE,"Countries, cities, states"
MUCH ADO ABOUT NOTHING,3,1,Leonato's Garden.,THE WOODBINE,LOCATION,LOCATION
MUCH ADO ABOUT NOTHING,3,1,Leonato's Garden.,ITALY,GPE,"Countries, cities, states"
MUCH ADO ABOUT NOTHING,3,3,A Street.,DOGBERRY,PERSON,"People, including fictional"
MUCH ADO ABOUT NOTHING,3,3,A Street.,VERGES,PERSON,"People, including fictional"
MUCH ADO ABOUT NOTHING,3,3,A Street.,CONSTABLE,TITLE,TITLE
MUCH ADO ABOUT NOTHING,3,3,A Street.,SEACOAL,GPE,"Countries, cities, states"
MUCH ADO ABOUT NOTHING,3,3,A Street.,VERGES,GPE,"Countries, cities, states"
MUCH ADO ABOUT NOTHING,3,3,A Street.,NURSE,TITLE,TITLE
MUCH ADO ABOUT NOTHING,3,3,A Street.,PHARAOH,GPE,"Countries, cities, states"
MUCH ADO ABOUT NOTHING,4,1,The Inside of a Church.,FRIAR FRANCIS,PERSON,"People, including fictional"
MUCH ADO ABOUT NOTHING,4,1,The Inside of a Church.,FRIAR,TITLE,TITLE
MUCH ADO ABOUT NOTHING,4,2,A Prison.,BORACHIO,GPE,"Countries, cities, states"
MUCH ADO ABOUT NOTHING,5,1,Before Leonato's House.,THE GARDEN,LOCATION,LOCATION
MUCH ADO ABOUT NOTHING,5,1,Before Leonato's House.,HIR'D,GPE,"Countries, cities, states"
MUCH ADO ABOUT NOTHING,5,4,A Room in Leonato's House.,ETHIOPE,GPE,"Countries, cities, states"
